name: abseil-cpp-binary, nameSpecified: abseil, owner: google, version: 1.2024011602.0, source: https://github.com/google/abseil-cpp-binary

name: app-check, nameSpecified: AppCheck, owner: google, version: 11.0.1, source: https://github.com/google/app-check

name: combine-schedulers, nameSpecified: combine-schedulers, owner: pointfreeco, version: 1.0.2, source: https://github.com/pointfreeco/combine-schedulers

name: firebase-ios-sdk, nameSpecified: Firebase, owner: firebase, version: 11.0.0, source: https://github.com/firebase/firebase-ios-sdk

name: GoogleAppMeasurement, nameSpecified: GoogleAppMeasurement, owner: google, version: 11.0.0, source: https://github.com/google/GoogleAppMeasurement

name: GoogleDataTransport, nameSpecified: GoogleDataTransport, owner: google, version: 10.1.0, source: https://github.com/google/GoogleDataTransport

name: GoogleUtilities, nameSpecified: GoogleUtilities, owner: google, version: 8.0.1, source: https://github.com/google/GoogleUtilities

name: grpc-binary, nameSpecified: gRPC, owner: google, version: 1.65.1, source: https://github.com/google/grpc-binary

name: gtm-session-fetcher, nameSpecified: gtm-session-fetcher, owner: google, version: 3.5.0, source: https://github.com/google/gtm-session-fetcher

name: Inject, nameSpecified: Inject, owner: krzysztofzablocki, version: 1.5.2, source: https://github.com/krzysztofzablocki/Inject

name: interop-ios-for-google-sdks, nameSpecified: InteropForGoogle, owner: google, version: 100.0.0, source: https://github.com/google/interop-ios-for-google-sdks

name: KZFileWatchers, nameSpecified: KZFileWatchers, owner: krzysztofzablocki, version: , source: https://github.com/krzysztofzablocki/KZFileWatchers

name: leveldb, nameSpecified: leveldb, owner: firebase, version: 1.22.4, source: https://github.com/firebase/leveldb

name: nanopb, nameSpecified: nanopb, owner: firebase, version: 2.30910.0, source: https://github.com/firebase/nanopb

name: Nuke, nameSpecified: Nuke, owner: kean, version: 12.8.0, source: https://github.com/kean/Nuke

name: promises, nameSpecified: Promises, owner: google, version: 2.4.0, source: https://github.com/google/promises

name: Pulse, nameSpecified: Pulse, owner: kean, version: 4.2.7, source: https://github.com/kean/Pulse

name: swift-case-paths, nameSpecified: swift-case-paths, owner: pointfreeco, version: 1.5.4, source: https://github.com/pointfreeco/swift-case-paths

name: swift-clocks, nameSpecified: swift-clocks, owner: pointfreeco, version: 1.0.4, source: https://github.com/pointfreeco/swift-clocks

name: swift-collections, nameSpecified: swift-collections, owner: apple, version: 1.1.2, source: https://github.com/apple/swift-collections

name: swift-composable-architecture, nameSpecified: swift-composable-architecture, owner: pointfreeco, version: 1.12.1, source: https://github.com/pointfreeco/swift-composable-architecture

name: swift-concurrency-extras, nameSpecified: swift-concurrency-extras, owner: pointfreeco, version: 1.1.0, source: https://github.com/pointfreeco/swift-concurrency-extras

name: swift-custom-dump, nameSpecified: swift-custom-dump, owner: pointfreeco, version: 1.3.3, source: https://github.com/pointfreeco/swift-custom-dump

name: swift-dependencies, nameSpecified: swift-dependencies, owner: pointfreeco, version: 1.3.6, source: https://github.com/pointfreeco/swift-dependencies

name: swift-identified-collections, nameSpecified: swift-identified-collections, owner: pointfreeco, version: 1.1.0, source: https://github.com/pointfreeco/swift-identified-collections

name: swift-perception, nameSpecified: swift-perception, owner: pointfreeco, version: 1.3.4, source: https://github.com/pointfreeco/swift-perception

name: swift-protobuf, nameSpecified: SwiftProtobuf, owner: apple, version: 1.25.2, source: https://github.com/apple/swift-protobuf

name: swift-syntax, nameSpecified: swift-syntax, owner: swiftlang, version: 510.0.1, source: https://github.com/swiftlang/swift-syntax

name: swift-tagged, nameSpecified: swift-tagged, owner: pointfreeco, version: 0.10.0, source: https://github.com/pointfreeco/swift-tagged

name: SwiftSoup, nameSpecified: SwiftSoup, owner: scinfu, version: 2.7.1, source: https://github.com/scinfu/SwiftSoup

name: swiftui-navigation, nameSpecified: swiftui-navigation, owner: pointfreeco, version: 1.5.4, source: https://github.com/pointfreeco/swiftui-navigation

name: xctest-dynamic-overlay, nameSpecified: xctest-dynamic-overlay, owner: pointfreeco, version: 1.2.2, source: https://github.com/pointfreeco/xctest-dynamic-overlay

add-version-numbers: false

LicensePlist Version: 3.25.1
